model,target_id,n_reps,mean_total_runtime_sec,std_total_runtime_sec,cv_total_runtime_sec,min_total_runtime_sec,max_total_runtime_sec,mean_inference_runtime_sec,std_inference_runtime_sec,cv_inference_runtime_sec,flagged_unstable
esmfold,T1272s9,3,47.84867382562758,3.7723966394257555,0.07884015037017125,45.517180673006806,52.20096730487421,47.84867382562758,3.7723966394257555,0.07884015037017125,False
esmfold,T1134s1,3,47.432690446951405,3.6764260032217533,0.07750827474847666,45.16130990700185,51.67429941985756,47.432690446951405,3.6764260032217533,0.07750827474847666,False
omegafold,T1137s2,3,87.56347146267217,6.436242505607478,0.07350373846645873,83.73660447899601,94.99428969802102,87.56347146267217,6.436242505607478,0.07350373846645873,False
esmfold,T1272s7,3,48.06202819469521,3.48110851240602,0.0724294966975664,46.0197066940018,52.08148990408517,48.06202819469521,3.48110851240602,0.0724294966975664,False
esmfold,T1183,3,46.12366220230373,3.329400207783745,0.07218421193834544,43.99615704199823,49.96053524292074,46.12366220230373,3.329400207783745,0.07218421193834544,False
omegafold,T1185s2,3,102.79362263299845,7.229073558257685,0.07032609001501454,98.50659098000324,111.14000265399228,102.79362263299845,7.229073558257685,0.07032609001501454,False
omegafold,T1185s1,3,90.4950089619985,6.261736980573102,0.06919427990998475,86.82728889599093,97.7251846040017,90.4950089619985,6.261736980573102,0.06919427990998475,False
esmfold,T1299,3,45.04617829562388,3.0633316126045256,0.06800425093780087,43.06325349299732,48.57437235186808,45.04617829562388,3.0633316126045256,0.06800425093780087,False
esmfold,T1194,3,45.127104971312896,3.0277006235242614,0.0670927289807081,43.02843456700066,48.59793928894214,45.127104971312896,3.0277006235242614,0.0670927289807081,False
omegafold,T1137s5,3,117.50224781699217,7.834671387540342,0.06667677881143784,112.69249340299577,126.5427691229852,117.50224781699217,7.834671387540342,0.06667677881143784,False
esmfold,T1159,3,44.77587305570584,2.952355031257287,0.06593629179679535,42.871360695004114,48.17680739611387,44.77587305570584,2.952355031257287,0.06593629179679535,False
